"시점","시도별",데이터
"2022.06","세종특별자치시",109.04
"2022.06","경기도",108.19
"2022.06","강원도",109.77
"2022.06","충청북도",109.23
"2022.06","충청남도",109.47
"2022.06","전라북도",108.76
"2022.06","전라남도",109.39
"2022.06","경상북도",109.58
"2022.06","경상남도",108.67
"2022.06","제주특별자치도",109.59
"2022.07","서울특별시",107.46
"2022.07","부산광역시",108.20
"2022.07","대구광역시",109.06
"2022.07","인천광역시",108.90
"2022.07","광주광역시",109.10
"2022.07","대전광역시",108.43
"2022.07","울산광역시",108.45
"2022.07","세종특별자치시",109.28
"2022.07","경기도",108.72
"2022.07","강원도",110.27
"2022.07","충청북도",109.88
"2022.07","충청남도",110.20
"2022.07","전라북도",109.31
"2022.07","전라남도",109.79
"2022.07","경상북도",110.11
"2022.07","경상남도",109.20
"2022.07","제주특별자치도",109.93
"2022.08","서울특별시",107.58
"2022.08","부산광역시",108.21
"2022.08","대구광역시",108.98
"2022.08","인천광역시",108.66
"2022.08","광주광역시",108.80
"2022.08","대전광역시",108.26
"2022.08","울산광역시",108.32
"2022.08","세종특별자치시",109.36
"2022.08","경기도",108.57
"2022.08","강원도",109.97
"2022.08","충청북도",109.66
"2022.08","충청남도",109.89
"2022.08","전라북도",109.06
"2022.08","전라남도",109.50
"2022.08","경상북도",109.69
"2022.08","경상남도",108.87
"2022.08","제주특별자치도",109.96
"2022.09","서울특별시",107.85
"2022.09","부산광역시",108.48
"2022.09","대구광역시",109.41
"2022.09","인천광역시",109.05
"2022.09","광주광역시",108.88
"2022.09","대전광역시",108.54
"2022.09","울산광역시",108.77
"2022.09","세종특별자치시",109.36
"2022.09","경기도",108.87
"2022.09","강원도",110.39
"2022.09","충청북도",110.14
"2022.09","충청남도",110.28
"2022.09","전라북도",109.45
"2022.09","전라남도",109.76
"2022.09","경상북도",110.02
"2022.09","경상남도",109.10
"2022.09","제주특별자치도",110.47
"2022.10","서울특별시",108.16
"2022.10","부산광역시",108.81
"2022.10","대구광역시",109.61
"2022.10","인천광역시",109.44
"2022.10","광주광역시",109.23
