"시점","행정구역별",건수 (건),사망 (명),부상 (명),재산피해(계) (천원),부동산 (천원),동산 (천원),이재가구수 (가구),이재민수 (명)
"2015","세종특별자치시",252,1,5,1240542,604540,636002,4,9
"2015","경기도",10333,63,610,240336222,94128434,146207788,506,832
"2015","강원도",2485,13,107,14723530,7306226,7417304,84,182
"2015","충청북도",1373,18,51,13508677,6343234,7165443,49,110
"2015","충청남도",3031,17,45,17281830,8088926,9192904,105,232
"2015","전라북도",1962,10,60,7538440,3599357,3939083,62,91
"2015","전라남도",2647,11,104,19520216,7656023,11864193,109,223
"2015","경상북도",3068,18,113,17666841,8454598,9212243,83,177
"2015","경상남도",3960,18,140,29979992,9579934,20400058,92,161
"2015","제주특별자치도",604,5,26,4320424,1964274,2356150,20,41
"2016","서울특별시",6443,40,236,14122346,5975254,8147092,80,181
"2016","부산광역시",2199,17,128,6645774,2881160,3764614,96,183
"2016","대구광역시",1739,11,83,53332109,7422474,45909635,33,54
"2016","인천광역시",1790,10,94,16593610,7555616,9037994,75,153
"2016","광주광역시",956,7,23,3774577,1708802,2065775,20,43
"2016","대전광역시",974,7,40,3701616,1786778,1914838,69,139
"2016","울산광역시",928,16,53,3519167,1348394,2170773,1,3
"2016","세종특별자치시",300,2,12,1585028,773221,811807,11,22
"2016","경기도",10147,70,510,188627284,74181115,114446169,203,495
"2016","강원도",2315,20,99,12757524,7708704,5048820,57,123
"2016","충청북도",1379,12,38,13912203,6445284,7466919,34,70
"2016","충청남도",2825,12,46,20705376,10173454,10531922,89,161
"2016","전라북도",1983,17,39,9928265,5141936,4786329,71,135
"2016","전라남도",2454,21,89,15448305,7190179,8258126,87,152
"2016","경상북도",2651,14,113,24643788,11392963,13250825,78,144
"2016","경상남도",3756,29,101,25867929,9713204,16154725,44,83
"2016","제주특별자치도",574,1,14,5438344,1626373,3811971,7,17
"2017","서울특별시",5978,37,246,15323890,6592363,8731527,71,148
"2017","부산광역시",2609,19,102,8301634,4094046,4207588,39,76
"2017","대구광역시",1612,8,61,9278689,3610910,5667779,16,28
"2017","인천광역시",1608,7,90,14843774,5797370,9046404,87,213
"2017","광주광역시",923,9,27,3375779,1580267,1795512,32,66
"2017","대전광역시",1059,9,46,4931988,2281113,2650875,21,38
"2017","울산광역시",959,2,39,3460955,1795542,1665413,2,3
"2017","세종특별자치시",316,2,8,4039112,1687347,2351765,10,23
"2017","경기도",9799,78,573,250321443,96478227,153843216,339,728
"2017","강원도",2364,24,123,30228041,10198017,20030024,139,273
"2017","충청북도",1554,41,107,30979634,15474177,15505457,34,49
"2017","충청남도",2775,19,30,26479876,12183415,14296461,128,228
"2017","전라북도",1974,15,69,20690454,9691735,10998719,68,121
"2017","전라남도",2963,19,99,24841124,9520704,15320420,95,186
"2017","경상북도",2817,27,127,25092858,11812007,13280851,104,195
"2017","경상남도",4117,24,86,30779725,15033344,15746381,75,136
"2017","제주특별자치도",751,5,19,3944602,2022493,1922109,9,15
"2018","서울특별시",6368,53,307,21239984,5478877,15761107,177,360
"2018","부산광역시",2471,14,129,11026700,4581957,6444743,43,78
"2018","대구광역시",1440,18,66,11224702,3340690,7884012,25,51
"2018","인천광역시",1620,21,98,39995418,16604190,23391228,77,155
"2018","광주광역시",860,7,22,3654244,1681721,1972523,22,57
"2018","대전광역시",1094,12,73,6026625,3693466,2333159,20,48
"2018","울산광역시",887,5,27,7354639,4441261,2913378,9,16
"2018","세종특별자치시",236,3,50,10321601,8548417,1773184,10,18
"2018","경기도",9632,62,537,270480468,114149503,156330965,356,733
"2018","강원도",2228,14,132,27379587,9933793,17445794,121,251
"2018","충청북도",1414,19,93,21055464,7871983,13183481,45,97
"2018","충청남도",2605,21,52,25638551,12011902,13626649,97,176
"2018","전라북도",2044,21,112,14668751,6583331,8085420,69,117
"2018","전라남도",2635,17,81,28312162,9471302,18840860,84,168
"2018","경상북도",2686,22,158,34118375,14701579,19416796,87,161
"2018","경상남도",3482,56,265,23281562,9686008,13595554,67,136
"2018","제주특별자치도",636,4,23,3956895,1199603,2757292,5,8
"2019","서울특별시",5881,37,361,92409010,12331390,80077620,171,318
"2019","부산광역시",2440,9,121,6242914,2301190,3941724,53,91
"2019","대구광역시",1323,11,94,7224014,3528639,3695375,31,67
"2019","인천광역시",1499,14,99,22507439,10715812,11791627,63,115
"2019","광주광역시",844,10,51,4542558,2115276,2427282,20,42
"2019","대전광역시",878,9,62,4042309,1776153,2266156,41,112
"2019","울산광역시",737,4,67,66995076,23563077,43431999,2,2
"2019","세종특별자치시",191,0,8,2695492,995712,1699780,5,10
"2019","경기도",9421,47,529,209842482,81365795,128476687,320,617
"2019","강원도",1973,16,140,253916322,95161803,158754519,548,1258
"2019","충청북도",1594,15,163,40761515,16615397,24146118,53,100
"2019","충청남도",2193,33,63,19838416,8409275,11429141,106,161
"2019","전라북도",2154,13,62,16512913,7376740,9136173,57,102
